dataset,metric,method_variant,score_pct,ok,num_examples,failed,truncate_count,truncate_rate,prompt_truncate_count,avg_latency_s,p95_latency_s,total_elapsed_s,throughput_req_s,avg_k_bits,avg_v_bits,avg_kv_bits,precision_distribution,pm_cache_wide_coverage,source,file
qasper,qa_f1,baseline,44.49,200,200,0,0,0.0,21,1.8035202167599527,4.848422487999414,45.77079541200146,4.369598522370412,BF16,BF16,BF16,BF16/FP16,,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/baseline_qasper_burst_c8.json
qasper,qa_f1,kivi2,42.07,200,200,0,0,0.0,21,6.401659555254973,18.199025411000548,160.71432423199985,1.2444441461937714,2.1809562754000185,2.3714760238583485,2.2762161496291835,"2:0.98, 16:0.02",1.0,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kivi2_qasper_burst_c8.json
qasper,qa_f1,kivi4,44.91,200,200,0,0,0.0,21,6.579971360619948,18.034930465000798,165.34419567499936,1.2095979491963547,,,,,,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kivi4_qasper_burst_c8.json
qasper,qa_f1,kvtuner_pertoken_c4_00,43.76,200,200,0,0,0.0,21,6.031193582429996,18.45155079200049,151.61005731000114,1.3191736982926843,5.151052218867355,3.4244738905663223,4.287763054716839,"2:0.14, 4:0.71, 8:0.14",1.0,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvtuner_pertoken_c4_00_qasper_burst_c8.json
qasper,qa_f1,kvtuner_kivi_c3_92,44.13,200,200,0,0,0.0,21,6.576403614580013,17.670770623999488,165.34202681399984,1.2096138160020764,,,,,,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvtuner_kivi_c3_92_qasper_burst_c8.json
qasper,qa_f1,kvquant,41.48,200,200,0,0,0.0,21,4.589102633685079,14.165814571999363,115.69672999900104,1.7286573268036778,3.0026585879657435,3.0026585879657435,3.0026585879657435,"3:1.00, 16:0.00",,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvquant_qasper_burst_c8.json
qasper,qa_f1,pmkvq_cachewide_mem132,44.13,200,200,0,0,0.0,21,5.548651603044927,15.137899292996735,142.1896828179997,1.4065718133431415,6.278334985454199,6.278334985454199,6.278334985454199,"4:0.57, 8:0.36, 16:0.07",1.0,reused_20260526_pm,/root/atc_vllm_sched/results/fake_quant/formal/multitask_longbench_math_200_chat_c8_20260526/pmkvq_cachewide_mem132_qasper_burst_c8.json
narrativeqa,qa_f1,baseline,23.72,200,200,0,0,0.0,200,2.496254368150012,5.663910439001484,62.84748015200057,3.182307381557502,BF16,BF16,BF16,BF16/FP16,,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/baseline_narrativeqa_burst_c8.json
narrativeqa,qa_f1,kivi2,24.1,200,200,0,0,0.0,200,8.484757570980083,20.96325238800091,213.69391558700045,0.9359180838191656,2.2028145844003384,2.2378759028037254,2.220345243602032,"2:0.98, 16:0.02",1.0,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kivi2_narrativeqa_burst_c8.json
narrativeqa,qa_f1,kivi4,23.68,200,200,0,0,0.0,200,8.453475015054991,20.039082769999368,212.28404242599936,0.9421339339235474,4.172140208754646,4.203883846178135,4.188012027466391,"4:0.98, 16:0.02",1.0,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kivi4_narrativeqa_burst_c8.json
