dataset,metric,method_variant,score_pct,ok,num_examples,failed,truncate_count,truncate_rate,prompt_truncate_count,avg_latency_s,p95_latency_s,total_elapsed_s,throughput_req_s,avg_k_bits,avg_v_bits,avg_kv_bits,precision_distribution,source_summary,file
math500,math_exact,baseline,66.0,200,200,0,27,0.135,0,12.717483451940025,22.4879454969996,325.308622687,0.6148007954662568,BF16,BF16,BF16,BF16/FP16,rerun_20260528,/root/atc_vllm_sched/results/fake_quant/formal/math500_gsm8k_200_chat_c8_baseline_rerun_20260528/baseline_math500_burst_c8.json
math500,math_exact,kivi2,67.5,200,200,0,20,0.1,0,57.27598525995505,114.96698789600123,1459.2762484099985,0.1370542419352857,3.8960105428510965,5.769287805314809,4.832649174082953,"2:0.80, 16:0.20",repaired_20260528,/root/atc_vllm_sched/results/fake_quant/formal/math500_gsm8k_200_chat_c8_repaired_20260528/kivi2_math500_burst_c8.json
math500,math_exact,kivi4,64.5,200,200,0,27,0.135,0,58.403552872005,121.63393176699901,1483.8786472550019,0.13478191115558952,5.608058770297246,7.191656408643546,6.399857589470396,"4:0.80, 16:0.20",repaired_20260528,/root/atc_vllm_sched/results/fake_quant/formal/math500_gsm8k_200_chat_c8_repaired_20260528/kivi4_math500_burst_c8.json
math500,math_exact,kvtuner_pertoken_c4_00,63.0,200,200,0,18,0.09,0,49.949267980609946,96.94765795100102,1264.60052231,0.15815271026036526,5.142595781670806,3.428702109164597,4.285648945417702,"2:0.14, 4:0.71, 8:0.14",repaired_20260528,/root/atc_vllm_sched/results/fake_quant/formal/math500_gsm8k_200_chat_c8_repaired_20260528/kvtuner_pertoken_c4_00_math500_burst_c8.json
math500,math_exact,kvtuner_kivi_c3_92,67.0,200,200,0,18,0.09,0,46.92593628841489,88.73611173899917,1199.3507946739992,0.16675688288042773,4.4041833874572465,4.833344519075552,4.618763953266399,"2:0.54, 4:0.14, 8:0.27, 16:0.05",repaired_20260528,/root/atc_vllm_sched/results/fake_quant/formal/math500_gsm8k_200_chat_c8_repaired_20260528/kvtuner_kivi_c3_92_math500_burst_c8.json
math500,math_exact,kvquant,67.5,200,200,0,21,0.105,0,96.75943156341988,191.50129228800142,2459.3816002540007,0.08132125570889216,3.0191855879084994,3.0191855879084994,3.0191855879084994,"3:1.00, 16:0.00",repaired_20260528,/root/atc_vllm_sched/results/fake_quant/formal/math500_gsm8k_200_chat_c8_repaired_20260528/kvquant_math500_burst_c8.json
math500,math_exact,pmkvq_cachewide_mem132,64.5,200,200,0,29,0.145,0,76.86910200744984,156.50965344299766,1947.7652896910004,0.10268177642272731,16.0,16.0,16.0,16:1.00,old_20260526_reused_pm,/root/atc_vllm_sched/results/fake_quant/formal/multitask_longbench_math_200_chat_c8_20260526/pmkvq_cachewide_mem132_math500_burst_c8.json
gsm8k,gsm8k_exact,baseline,85.5,200,200,0,0,0.0,0,4.526543316330062,8.544578355998965,116.69756191899796,1.7138318634182252,BF16,BF16,BF16,BF16/FP16,old_20260526,/root/atc_vllm_sched/results/fake_quant/formal/multitask_longbench_math_200_chat_c8_20260526/baseline_gsm8k_burst_c8.json
gsm8k,gsm8k_exact,kivi2,84.0,200,200,0,1,0.005,0,19.833403574499936,36.32854853500248,502.9692156409983,0.39763865020071715,2.9575252919367525,3.9927029287088787,3.475114110322816,"2:0.89, 16:0.11",repaired_20260528,/root/atc_vllm_sched/results/fake_quant/formal/math500_gsm8k_200_chat_c8_repaired_20260528/kivi2_gsm8k_burst_c8.json
gsm8k,gsm8k_exact,kivi4,83.5,200,200,0,0,0.0,0,19.31794935108479,37.40873084100167,489.2719755670005,0.4087706020117479,4.817182791888546,5.715926751256837,5.266554771572691,"4:0.89, 16:0.11",repaired_20260528,/root/atc_vllm_sched/results/fake_quant/formal/math500_gsm8k_200_chat_c8_repaired_20260528/kivi4_gsm8k_burst_c8.json
gsm8k,gsm8k_exact,kvtuner_pertoken_c4_00,82.0,200,200,0,0,0.0,0,16.171921385765,33.09318902499945,411.2686038199972,0.4863001895654923,5.141546560966574,3.429226719516713,4.285386640241644,"2:0.14, 4:0.71, 8:0.14",repaired_20260528,/root/atc_vllm_sched/results/fake_quant/formal/math500_gsm8k_200_chat_c8_repaired_20260528/kvtuner_pertoken_c4_00_gsm8k_burst_c8.json
gsm8k,gsm8k_exact,kvtuner_kivi_c3_92,83.0,200,200,0,0,0.0,0,16.32873348546491,32.411528281001665,414.6307136560026,0.48235693452735756,4.208668402171994,4.428376767424556,4.318522584798275,"2:0.56, 4:0.14, 8:0.28, 16:0.03",repaired_20260528,/root/atc_vllm_sched/results/fake_quant/formal/math500_gsm8k_200_chat_c8_repaired_20260528/kvtuner_kivi_c3_92_gsm8k_burst_c8.json
gsm8k,gsm8k_exact,kvquant,84.0,200,200,0,1,0.005,0,31.772627100224874,64.28070987500178,806.8858809230005,0.2478665257734081,3.013469090652938,3.013469090652938,3.013469090652938,"3:1.00, 16:0.00",repaired_20260528,/root/atc_vllm_sched/results/fake_quant/formal/math500_gsm8k_200_chat_c8_repaired_20260528/kvquant_gsm8k_burst_c8.json
gsm8k,gsm8k_exact,pmkvq_cachewide_mem132,85.0,200,200,0,0,0.0,0,24.619160150814896,46.71640696399845,623.9270138669963,0.3205503136663905,16.0,16.0,16.0,16:1.00,old_20260526_reused_pm,/root/atc_vllm_sched/results/fake_quant/formal/multitask_longbench_math_200_chat_c8_20260526/pmkvq_cachewide_mem132_gsm8k_burst_c8.json
